MOOTMISE_AEG;MOODETUD_TUHIKAIK_PM;MOODETUD_POORETEL_PM;MOODETUD_TUHIKAIK_CO;MOODETUD_POORETEL_CO;MOODETUD_POORETEL_CO_CORR;MOODETUD_TUHIKAIK_HC;MOODETUD_POORETEL_HC;MOODETUD_TUHIKAIK_CO2;MOODETUD_POORETEL_CO2;MOODETUD_TUHIKAIK_O2;MOODETUD_POORETEL_O2;MOODETUD_POORETEL_LAMBDA;MOODETUD_SUITSUSUS;POORETE_TOSTMISE_AEG;TYHIKAIGU_POORDED;MAX_POORDED
01.08.2018 9:52:00;661;2698;0,02;0,04;;2;2;1,53;1,53;0,56;0,14;1,005;;;;
01.08.2018 10:04:00;660;2860;0,02;0,01;;9;7;1,51;1,5;0,12;0,12;1,004;;;;
01.08.2018 10:23:00;711;2342;0,01;0,01;;0;0;1,51;1,52;0,15;0,07;1,003;;;;
01.08.2018 10:38:00;;;;;;;;;;;;;0,01;0,44;780;2510
01.08.2018 11:03:00;;;;;;;;;;;;;1,14;1,24;800;4050
01.08.2018 11:24:00;;;;;;;;;;;;;0,04;1,85;830;5050
01.08.2018 11:52:00;904;2658;0,02;0,02;;1;0;1,49;1,49;0,29;0,14;1,006;;;;
01.08.2018 11:58:00;809;2327;0,01;0,01;;0;0;1,48;1,5;0,54;0,22;1,01;;;;
01.08.2018 12:17:00;;;;;;;;;;;;;0,28;0,9;850;4870
01.08.2018 12:28:00;920;2430;0,01;0,05;;7;8;1,19;1,33;2,72;0,54;1,026;;;;
01.08.2018 12:35:00;;;;;;;;;;;;;0,14;1,6;780;3690
01.08.2018 12:42:00;700;2390;0,01;0,02;;6;4;1,51;1,51;0,02;0,02;1;;;;
01.08.2018 12:45:00;790;2650;0,05;0,02;;28;24;1,49;1,49;0,11;0,45;1,019;;;;
01.08.2018 12:54:00;800;2840;0,02;0,02;;2;1;1,53;1,53;0,05;0,04;1,001;;;;
01.08.2018 13:13:00;897;2881;0,02;0,02;;0;1;1,53;1,53;0,23;0,11;1,004;;;;
01.08.2018 13:18:00;790;2940;0,01;0,01;;1;1;1,52;1,52;0,02;0,02;1;;;;
01.08.2018 13:36:00;;;;;;;;;;;;;1,4;1,65;950;5440
01.08.2018 13:36:00;;;;;;;;;;;;;1,57;1,44;960;5220
01.08.2018 13:36:00;;;;;;;;;;;;;1,22;1,75;960;5410
01.08.2018 13:51:00;748;2360;0,01;0,01;;0;0;1,51;1,52;0,17;0,07;1,002;;;;
01.08.2018 13:58:00;;;;;;;;;;;;;0,14;1,8;760;4540
01.08.2018 14:08:00;734;2601;0,01;0,01;;7;6;1,51;1,52;0,45;0,37;1,016;;;;
01.08.2018 14:10:00;;;;;;;;;;;;;0,01;0,39;830;2500
01.08.2018 14:22:00;;;;;;;;;;;;;0,96;1,72;698;4390
01.08.2018 14:22:00;;;;;;;;;;;;;1,71;1,55;727;4580
01.08.2018 14:22:00;;;;;;;;;;;;;1,64;1,53;781;4580
01.08.2018 14:23:00;;;;;;;;;;;;;0,11;1,21;700;4520
01.08.2018 14:36:00;760;2193;0,02;0,01;;14;10;1,52;1,5;0,42;0,55;1,025;;;;
01.08.2018 14:42:00;740;2610;0,01;0,01;;10;9;1,51;1,51;0,2;0,15;1,006;;;;
01.08.2018 14:48:00;;;;;;;;;;;;;0,08;0,94;820;4920
01.08.2018 14:55:00;860;2670;0,59;0,53;;97;29;1,36;1,46;2,04;0,65;1,013;;;;
01.08.2018 15:08:00;;;;;;;;;;;;;1,75;1,52;880;5170
